School Number,School Name,Address,Suburb,Postcode,Latitude,Longitude
6075,Aldinga Beach OSHCers/Vac,Quinliven Road,Aldinga,5173,-35.268942,138.461849
6077,Magill School OSHC/Vac,Adelaide Street,Magill,5072,-34.913797,138.676799
6078,Marryatville PS-The Red Shed OSHCVac,Dankel Avenue,Kensington,5068,-34.924542,138.649185
6079,McLaren Flat - Willunga PS OSHC,49 Main Road,McLaren Flat,5171,-35.206119,138.587289
6080,McLaren Vale - Willunga PS OSHC,Caffrey Street,McLaren Vale,5171,-35.211675,138.531473
6081,Modbury CPC-7 OSHC/Vac,2-18 Golden Grove Road,Modbury North,5092,-34.825905,138.692227
6082,Reidy Park - Mt Gambier OSHC,O'Halloran Terrace,Mount Gambier,5290,-37.834544,140.771765
6083,Murray Bridge North OSHC/Vac,1 North Terrace,Murray Bridge,5253,-35.116071,139.270251
6084,Nailsworth Primary School OSHC/Vac,2 Balfour Street,Nailsworth,5083,-34.88242,138.603752
6085,Naracoorte PS OSHC/Vac,Park Terrace,Naracoorte,5271,-36.951082,140.738119
6088,Plympton PS OSHC/Vac,19 Owen Street,Plympton,5038,-34.9612,138.556819
6089,Pooraka PS OSHC/Vac,11 South Terrace,Pooraka,5095,-34.833519,138.613108
6090,Port Augusta West PS OSHC/Vac,46 Mildred Street,Port Augusta West,5700,-32.483205,137.754202
6091,Port Elliot PS-Sthn Fleurieu OSHCVac,4 Cameron Street,Port Elliot,5212,-35.530015,138.678278
6093,Prospect Primary School OSHC/Vac,32 Olive Street,Prospect,5082,-34.885272,138.590472
6094,Reynella PS OSHC/Vac,55-63 Concord Drive,Old Reynella,5161,-35.100928,138.537502
6095,Richmond PS OSHC/Vac,8 Surrey Road,Keswick,5035,-34.943391,138.571798
6096,St Leonards PS OSHC/Vac,Jervois Street,Glenelg North,5045,-34.972261,138.519785
6097,Salisbury PS OSHC/Vac,10 Compuda Street,Salisbury,5108,-34.767152,138.647255
6099,Stirling East - Mt Lofty Area OSHC,51 Braeside Road,Stirling,5152,-35.002222,138.734746
6101,Athelstone PS OSHC/Vac,8 Brookside Road,Athelstone,5076,-34.867631,138.699613
6104,Unley OSHC Inc - OSCARS/Vac,Rugby Street,Malvern,5061,-34.953713,138.609731
6105,Uraidla Primary School OSHC/Vac,17 Kidney Street,Uraidla,5142,-34.959029,138.743391
6106,Victor Harbor R-7-Sthn Fleurieu OSHC,The Parkway,Victor Harbor,5211,-35.540745,138.624353
6107,Virginia Primary School OSHC/Vac,Park Road,Virginia,5120,-34.664481,138.555693
6108,Waikerie Primary School OSHC/Vac,23 Coombe Terrace,Waikerie,5330,-34.181117,139.981115
6115,Gidja Club Vacation Care,30 Ravendale Road,Port Lincoln,5606,-34.736509,135.864041
6118,Woodville PS OSHC/Vac,Evans Street,Woodville South,5011,-34.880569,138.532716
6120,Berri PS OSHC/Vac,11 Sultana Street,Berri,5343,-34.279661,140.594112
6121,Prospect Nth PS OSHC/Vac,30 Stuart Road,Prospect,5082,-34.874397,138.596495
6122,Mark Oliphant College (B-12) OSHC,99 Douglas Drive,Munno Para,5115,-34.665475,138.683575
6123,Brighton Primary School OSHC/Vac,1 Highet Avenue,Brighton,5048,-35.016259,138.526309
6124,Hallett Cove School OSHC/Vac,2-32 Gledsdale Road,Hallett Cove,5158,-35.075965,138.511116
6125,Linden Park Primary School OSHC/Vac,14 Hay Road,Linden Park,5065,-34.9478,138.646019
6126,Madison Park PS OSHC/Vac,19 Lincoln Avenue,Salisbury East,5109,-34.783863,138.662355
6127,Forbes Primary School OSHC/Vac,80 Thomas Street,South Plympton,5038,-34.978139,138.557598
6128,Walkerville Primary School OSHC/Vac,159 Stephen Terrace,Walkerville,5081,-34.895194,138.613241
6129,Tea Tree Gully PS OSHC/Vac,7-9 Neale Street,Tea Tree Gully,5091,-34.822942,138.727177
6130,Salisbury North School OSHC/Vac,Rolleston Avenue,Salisbury North,5108,-34.753166,138.635361
6131,Darlington Primary School OSHC/Vac,9-11 White Crescent,Seacombe Gardens,5047,-35.027204,138.546916
6132,Trinity Gardens PS OSHC/Vac,160 Portrush Road,Trinity Gardens,5068,-34.907992,138.641783
6133,Paringa Park Kids Care OSHC/Vac,21 Bowker Street,North Brighton,5048,-35.0020173,138.5306553
6134,Hendon Primary School OSHC/Vac,Cedar Avenue,Royal Park,5014,-34.878622,138.510533
6137,Burnside PS OSHC/Vac,11 High Street,Burnside,5066,-34.935601,138.661574
6138,Charles Campbell College OSHC/Vac,Campbell Road,Paradise,5075,-34.87403,138.674133
6139,Clare PS OSHC/Vac,137 Main North Road,Clare,5453,-33.840746,138.618052
6141,Colonel Light Gardens PS OSHC/Vac,Windsor Avenue,Colonel Light Gardens,5041,-34.986809,138.59544
6142,Willunga PS OSHC/Vac,247 Main Road,Willunga,5172,-35.269384,138.552628
6144,Elizabeth North PS OSHC/Vac,141 Woodford Road,Elizabeth North,5113,-34.703178,138.673909
6145,Elizabeth Grove Primary School OSHC,20 Haynes Street,Elizabeth Grove,5112,-34.73233,138.669527
6146,Klemzig Primary School OSHC/Vac,2 Hay Street,Klemzig,5087,-34.877176,138.637665
6147,Seacliff PS OSHC/Vac,Barwell Avenue,Seacliff,5049,-35.037621,138.523978
6148,Coober Pedy AS OSHC,Paxton Road,Coober Pedy,5723,-29.012364,134.752206
6149,Christies Beach PS OSHC/Vac,46 Maturin Avenue,Christies Beach,5165,-35.138009,138.479076
6150,Stradbroke PS OSHC/Vac,73 Koonga Avenue,Rostrevor,5073,-34.893467,138.68405
6151,Clovelly Park Primary Schl OSHC/Vac,1 Renown Place,Clovelly Park,5042,-34.998429,138.565416
6152,Warradale Primary School OSHC/Vac,Keynes Avenue,Warradale,5046,-35.004,138.537907
6154,Murray Bridge South PS OSHC/Vac,54 Joyce Street,Murray Bridge,5253,-35.132254,139.282374
6155,Gawler and District College OSHC,30 Para Road,Gawler,5118,-34.615732,138.734629
6156,Clapham PS OSHC/Vac,Barretts Road,Clapham,5062,-34.993358,138.603502
6158,Vale Park Primary School OSHC/Vac,40-56 Ascot Avenue,Vale Park,5081,-34.885256,138.626323
6161,Hawthorndene Primary School OSHC/Vac,Suffolk Road,Hawthorndene,5051,-35.020774,138.636088
6162,Paradise Primary School OSHC/Vac,100 George Street,Paradise,5075,-34.870802,138.68457
6163,Airdale PS OSHC/Vac,Anzac Road,Port Pirie,5540,-33.200564,137.99046
6164,Dernancourt Primary School OSHC/Vac,29 Parsons Road,Dernancourt,5075,-34.861119,138.673464
6165,Seaview Downs PS OSHC/Vac,26-44 Ross Street,Seaview Downs,5049,-35.041379,138.536114
6166,Marion Primary School OSHC/Vac,2-22 Malcolm Avenue,Marion,5043,-35.00386,138.555218
6167,West Beach PS OSHC/Vac,3 Woodhead Street,West Beach,5024,-34.937821,138.508809
6168,Parafield Gardens PS OSHC/Vac,23 Shepherdson Road,Parafield Gardens,5107,-34.785554,138.61607
6169,Gawler East Primary School OSHC/Vac,Finch Road,Gawler East,5118,-34.598085,138.761294
6170,Banksia Park Primary School OSHC/Vac,1-5 Cottenham Road,Banksia Park,5091,-34.808854,138.72609
6171,East Marden Primary School OSHC/Vac,43 James Street,Campbelltown,5074,-34.881964,138.65353
6172,Reynella South PS OSHC/Vac,119-135 Sherriffs Road,Reynella,5161,-35.103462,138.524358
6173,Modbury South PS OSHC/Vac,Dampier Avenue,Hope Valley,5090,-34.839319,138.69719
6174,Para Vista PS OSHC/Vac,351 Montague Road,Para Vista,5093,-34.830231,138.663164
6175,Ridgehaven Primary School OSHC/Vac,479 Milne Road,Ridgehaven,5097,-34.818559,138.710323
6176,Hallett Cove East PS OSHC/Vac,Quailo Avenue,Hallett Cove,5158,-35.071138,138.517181
6177,Reynella East PS OSHC/Vac,63 Malbeck Drive,Reynella East,5161,-35.090666,138.556465
6180,Hackham East Primary School OSHC,Collins Parade,Hackham,5163,-35.140202,138.53528
6182,Noarlunga Downs Primary School OSHC,Canterbury Crescent,Noarlunga Downs,5168,-35.150074,138.496349
6184,Flagstaff Hill R-7 School OSHC/Vac,145 Black Road,Flagstaff Hill,5159,-35.049771,138.589633
